Tipo;FZ;NB;HZ;PZ;FR;HR;SALIDA;PR;MN;L;TRN;TR;D;M;MM;Y;Latgrado_ini;Latmin_ini;LTPI;Longrado_ini;Lonmin_ini;LGPI;EOL;DE;DIL;HIL;Latgrado_fin;Longrado_fin;LTPF;Longrado_fin_1;Lonmin_fin;LGPF;Y_coord;X_coord;DTL;HTL;PF;TDF;TEDF;DL;DLT;VA;DV;FNV;ZP;REG;LCC;LCK;CPUELC;LAC;LAK;CPUELA;LCAC;LCAK;FECHA_H;RENDIM_COL;RENDIM_AM;RENDIM_CA;EOL_2;EOL_3;EOL_4;EOL_5;CALADERO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;1;4;ARRASTRE;;17;3;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45733;0.152777778;36557;00:00:00;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;17-03-25;05:00:00;207;FANGO;11.5;80;1.333333333;2;SW;5;111;V;5.625;90;;84.375;1350;;0;0;;67.5;1012.5;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;3;4;ARRASTRE;;17;3;2025;;32;21;32.35;71;34;71.56666667;LCOL;SI;45733;0.371527778;36557;00:00:00;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;17-03-25;10:50:00;185;;;115;1.916666667;2;CALMA;;111;V;93.125;1490;;56.25;900;;0;0;;777.3913043;469.5652174;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;4;4;ARRASTRE;;17;3;2025;;32;25;32.41666667;71;34;71.56666667;LCOL;SI;45733;0.485416667;36557;00:00:00;32.35;71;35;71.58333333;-32.35;-71.58333333;17-03-25;13:58:00;183;;;139;2.316666667;2;SW;3;111;V;101.25;1620;;14.375;230;;0;0;;699.2805755;99.28057554;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;5;4;ARRASTRE;;17;3;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45733;0.611111111;36557;00:00:00;32.38333333;71;35;71.58333333;-32.38333333;-71.58333333;17-03-25;15:45:00;230;;;65;1.083333333;2;SW;3;111;V;39.375;630;;58.125;930;;1.8;36;;581.5384615;858.4615385;33.23076923;LCOL/LAM/CAM;LCOL;LAM;CAM;PAPUDO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;6;4;ARRASTRE;;17;3;2025;;32;23;32.38333333;71;36;71.6;LCOL;SI;45733;0.694444444;36557;00:00:00;32.45;71;37;71.61666667;-32.45;-71.61666667;17-03-25;18:40:00;293;;;120;2;2;SW;3;111;V;52.5;840;;112.5;1800;;5;100;;420;900;50;LCOL/LAM/CAM;LCOL;LAM;CAM;PAPUDO
COMERCIAL;45737;ANTARES;18:16:00;SAN ANTONIO;23-03-25;11:10:00;SAN ANTONIO;S/M;2;4;ARRASTRE;;22;3;2025;;32;34;32.56666667;71;36;71.6;LCOL;SI;45738;0.203472222;36557;00:00:00;32.48333333;71;35;71.58333333;-32.48333333;-71.58333333;22-03-25;07:30:00;200;;;157;2.616666667;2;SW;15;111;V;78;1248;;77;1232;;0;0;;476.9426752;470.8280255;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;1;4;ARRASTRE;;21;3;2025;;32;26;32.43333333;71;36;71.6;LCOL;SI;45737;0.81875;36557;00:00:00;32.36666667;71;35;71.58333333;-32.36666667;-71.58333333;21-03-25;21:50:00;288;FANGO;11;131;2.183333333;2;SW;4;111;V;56.25;900;;36.875;590;;2.6;52;;412.2137405;270.2290076;23.81679389;LCOL/LAM/CAM;LCOL;LAM;CAM;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;2;4;ARRASTRE;;21;3;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45737;0.951388889;36557;00:00:00;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;22-03-25;01:15:00;230;;;145;2.416666667;2;SW;4;111;V;123.75;1980;;50.625;810;;1.8;36;;819.3103448;335.1724138;14.89655172;LCOL/LAM/CAM;LCOL;LAM;CAM;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;3;4;ARRASTRE;;22;3;2025;;32;26;32.43333333;71;35;71.58333333;LCOL;SI;45738;0.10625;36557;00:00:00;32.36666667;71;35;71.58333333;-32.36666667;-71.58333333;22-03-25;05:00:00;200;;;147;2.45;2;SW;3;111;V;158.125;2530;;24.375;390;;0;0;;1032.653061;159.1836735;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;4;4;ARRASTRE;;22;3;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45738;0.247916667;36557;00:00:00;32.43333333;71;35;71.58333333;-32.43333333;-71.58333333;22-03-25;08:40:00;210;;;163;2.716666667;2;SW;4;111;V;146.25;2340;;33.75;540;;0;0;;861.3496933;198.7730061;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;5;4;ARRASTRE;;22;3;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45738;0.406944444;36557;00:00:00;32.36666667;71;35;71.58333333;-32.36666667;-71.58333333;22-03-25;12:15:00;205;;;149;2.483333333;2;SW;4;111;V;191.25;3060;;112.5;1800;;0;0;;1232.214765;724.8322148;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;6;4;ARRASTRE;;22;3;2025;;32;22;32.36666667;71;35;71.58333333;LCOL;SI;45738;0.552083333;36557;00:00:00;32.45;71;35;71.58333333;-32.45;-71.58333333;22-03-25;15:45:00;200;;;90;1.5;2;SW;4;111;V;184.375;2950;;115.625;1850;;0;0;;1966.666667;1233.333333;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45737;TIRANA II;11:00:00;SAN ANTONIO;23-03-25;08:00:00;SAN ANTONIO;10;7;4;ARRASTRE;;22;3;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45738;0.760416667;36557;00:00:00;32.43333333;71;35;71.58333333;-32.43333333;-71.58333333;22-03-25;19:00:00;200;;;45;0.75;2;SW;5;111;V;56.25;900;;75;1200;;0;0;;1200;1600;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45856;LONQUIMAY;0.175;SAN ANTONIO;45858;0.125;SAN ANTONIO;18;1;4;ARRASTRE;;18;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45856;0.516666667;32;25;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;45856;0.599305556;195;;10.9;70;1.166666667;2;;;111;V;119;1904;;0;0;;0;0;;1632;0;0;LCOL;LCOL;LAN;LAN;PAPUDO
COMERCIAL;45856;LONQUIMAY;0.175;SAN ANTONIO;45858;0.125;SAN ANTONIO;18;2;4;ARRASTRE;;18;7;2025;;32;23;32.38333333;71;35;71.58333333;LCOL;SI;45856;0.602083333;32;27;32.45;71;35;71.58333333;-32.45;-71.58333333;45856;0.693055556;198;;10.7;131;2.183333333;2;;;111;V;248;3968;;0;0;;0;0;;1817.40458;0;0;LCOL;LCOL;LAN;LAN;PAPUDO
COMERCIAL;45856;LONQUIMAY;0.175;SAN ANTONIO;45858;0.125;SAN ANTONIO;18;3;4;ARRASTRE;;18;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45856;0.747916667;32;22;32.36666667;71;35;71.58333333;-32.36666667;-71.58333333;45856;0.874305556;208;;10.6;182;3.033333333;2;;;111;V;183;2928;;0;0;;0;0;;965.2747253;0;0;LCOL;LCOL;LAN;LAN;PAPUDO
COMERCIAL;45856;LONQUIMAY;0.175;SAN ANTONIO;45858;0.125;SAN ANTONIO;18;5;4;ARRASTRE;;19;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45857;0.38125;32;23;32.38333333;71;35;71.58333333;-32.38333333;-71.58333333;45857;0.480555556;199;FANGO;10.6;143;2.383333333;2;;;111;V;269;4304;;0;0;;0;0;;1805.874126;0;0;LCOL;LCOL;LAN;LAN;PAPUDO
COMERCIAL;45856;LONQUIMAY;0.175;SAN ANTONIO;45858;0.125;SAN ANTONIO;18;6;4;ARRASTRE;;19;7;2025;;32;22;32.36666667;71;34;71.56666667;LCOL;SI;45857;0.517361111;32;26;32.43333333;71;35;71.58333333;-32.43333333;-71.58333333;45857;0.623611111;195;;10.6;152;2.533333333;2;;;111;V;257;4112;;0;0;;0;0;;1623.157895;0;0;LCOL;LCOL;LAN;LAN;PAPUDO
COMERCIAL;45856;LONQUIMAY;0.175;SAN ANTONIO;45858;0.125;SAN ANTONIO;18;7;4;ARRASTRE;;19;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45857;0.664583333;32;24;32.4;71;35;71.58333333;-32.4;-71.58333333;45857;0.74375;195;;10.6;114;1.9;2;;;111;V;0;0;;186;2976;;0;0;;0;1566.315789;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45856;TIRANA II;0.246527778;SAN ANTONIO;45859;0.166666667;SAN ANTONIO;19;1;4;ARRASTRE;;18;7;2025;;32;27;32.45;71;36;71.6;LCOL;SI;45856;0.621527778;32;23;32.38333333;71;35;71.58333333;-32.38333333;-71.58333333;45856;0.708333333;226;FANGO;10.1;125;2.083333333;2;SW;5;111;V;0;0;;251.875;4030;;3.6;72;;0;1934.4;34.56;LAM/CAM;LAN;LAM;CAM;PAPUDO
COMERCIAL;45856;TIRANA II;0.246527778;SAN ANTONIO;45859;0.166666667;SAN ANTONIO;19;2;4;ARRASTRE;;19;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45857;0.333333333;32;21;32.35;71;35;71.58333333;-32.35;-71.58333333;45857;0.392361111;210;;10.6;85;1.416666667;2;CALMA;;111;V;0;0;;288.75;4620;;0;0;;0;3261.176471;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45856;TIRANA II;0.246527778;SAN ANTONIO;45859;0.166666667;SAN ANTONIO;19;3;4;ARRASTRE;;20;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45858;0.3;32;24;32.4;71;35;71.58333333;-32.4;-71.58333333;45858;0.361111111;212;;10.8;88;1.466666667;2;SW;2;111;V;0;0;;231.25;3700;;0;0;;0;2522.727273;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45856;TIRANA II;0.246527778;SAN ANTONIO;45859;0.166666667;SAN ANTONIO;19;4;4;ARRASTRE;;20;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45858;0.409722222;32;24;32.4;71;35;71.58333333;-32.4;-71.58333333;45858;0.482638889;212;;10.7;105;1.75;2;SW;2;111;V;0;0;;270;4320;;0;0;;0;2468.571429;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45856;TIRANA II;0.246527778;SAN ANTONIO;45859;0.166666667;SAN ANTONIO;19;5;4;ARRASTRE;;20;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45858;0.538194444;32;23;32.38333333;71;35;71.58333333;-32.38333333;-71.58333333;45858;0.621527778;215;;10.7;120;2;2;SW;2;111;V;0;0;;253.75;4060;;0;0;;0;2030;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45856;TIRANA II;0.246527778;SAN ANTONIO;45859;0.166666667;SAN ANTONIO;19;6;4;ARRASTRE;;20;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45858;0.702083333;32;25;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;45858;0.740277778;215;;11.1;55;0.916666667;2;SW;2;111;V;0;0;;151.875;2430;;0;0;;0;2650.909091;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45863;LONQUIMAY;0.629166667;SAN ANTONIO;45865;0.270833333;SAN ANTONIO;24;2;4;ARRASTRE;;26;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45864;0.017361111;32;27;32.45;71;35;71.58333333;-32.45;-71.58333333;45864;0.028472222;204;;11.3;16;0.266666667;2;;;111;V;0;0;;15;240;;0;0;;0;900;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45863;LONQUIMAY;0.629166667;SAN ANTONIO;45865;0.270833333;SAN ANTONIO;24;3;4;ARRASTRE;;26;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45864;0.063194444;32;23;32.38333333;71;35;71.58333333;-32.38333333;-71.58333333;45864;0.146527778;208;;11.3;120;2;2;;;111;V;0;0;;184;2944;;0;0;;0;1472;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45863;LONQUIMAY;0.629166667;SAN ANTONIO;45865;0.270833333;SAN ANTONIO;24;4;4;ARRASTRE;;26;7;2025;;32;22;32.36666667;71;35;71.58333333;LCOL;SI;45864;0.186111111;32;25;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;45864;0.25;212;;11.4;92;1.533333333;2;;;111;V;0;0;;163;2608;;0;0;;0;1700.869565;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45863;LONQUIMAY;0.629166667;SAN ANTONIO;45865;0.270833333;SAN ANTONIO;24;5;4;ARRASTRE;;26;7;2025;;32;22;32.36666667;71;35;71.58333333;LCOL;SI;45864;0.336111111;32;26;32.43333333;71;35;71.58333333;-32.43333333;-71.58333333;45864;0.420138889;208;;11.3;121;2.016666667;2;;;111;V;0;0;;253;4048;;0;0;;0;2007.272727;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45863;LONQUIMAY;0.629166667;SAN ANTONIO;45865;0.270833333;SAN ANTONIO;24;6;4;ARRASTRE;;26;7;2025;;32;22;32.36666667;71;35;71.58333333;LCOL;SI;45864;0.527777778;32;25;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;45864;0.613194444;206;FANGO;11.4;123;2.05;2;;;111;V;0;0;;300;4800;;0;0;;0;2341.463415;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45863;LONQUIMAY;0.629166667;SAN ANTONIO;45865;0.270833333;SAN ANTONIO;24;7;4;ARRASTRE;;26;7;2025;;32;25;32.41666667;71;35;71.58333333;LCOL;SI;45864;0.696527778;32;21;32.35;71;35;71.58333333;-32.35;-71.58333333;45864;0.814583333;205;;11.5;170;2.833333333;2;;;111;V;0;0;;250;4000;;0;0;;0;1411.764706;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45863;LONQUIMAY;0.629166667;SAN ANTONIO;45865;0.270833333;SAN ANTONIO;24;8;4;ARRASTRE;;26;7;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45864;0.852777778;32;23;32.38333333;71;35;71.58333333;-32.38333333;-71.58333333;45864;0.888888889;200;;11.5;52;0.866666667;2;;;111;V;0;0;;65;1040;;0;0;;0;1200;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45864;ANTARES;0.803472222;TOMÉ;45866;0.677777778;SAN ANTONIO;25;1;4;ARRASTRE;;27;7;2025;;32;27;32.45;71;35;71.58333333;LCOL;SI;45865;0.615277778;32;25;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;45865;0.666666667;194;;;75;1.25;2;;;111;V;0;0;;123;1968;;0;0;;0;1574.4;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45864;ANTARES;0.803472222;TOMÉ;45866;0.677777778;SAN ANTONIO;25;2;4;ARRASTRE;;27;7;2025;;32;25;32.41666667;71;35;71.58333333;LCOL;SI;45865;0.69375;32;21;32.35;71;35;71.58333333;-32.35;-71.58333333;45865;0.790972222;206;FANGO;11.2;140;2.333333333;2;;;111;V;0;0;;246;3936;;0;0;;0;1686.857143;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45864;ANTARES;0.803472222;TOMÉ;45866;0.677777778;SAN ANTONIO;25;3;4;ARRASTRE;;27;7;2025;;32;20;32.33333333;71;35;71.58333333;LCOL;SI;45865;0.825;32;25;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;45865;0.931944444;202;;;154;2.566666667;2;;;111;V;0;0;;248;3968;;0;0;;0;1545.974026;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45864;ANTARES;0.803472222;TOMÉ;45866;0.677777778;SAN ANTONIO;25;4;4;ARRASTRE;;27;7;2025;;32;20;32.33333333;71;35;71.58333333;LCOL;SI;45865;0.983333333;32;25;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;45866;0.095138889;208;;;161;2.683333333;2;;;111;V;3;48;;240;3840;;0;0;;17.88819876;1431.055901;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45864;ANTARES;0.803472222;TOMÉ;45866;0.677777778;SAN ANTONIO;25;5;4;ARRASTRE;;28;7;2025;;32;20;32.33333333;71;38;71.63333333;LCOL;SI;45866;0.145138889;32;25;32.41666667;71;35;71.58333333;-32.41666667;-71.58333333;45866;0.259027778;206;;;164;2.733333333;2;;;111;V;5;80;;270;4320;;0;0;;29.26829268;1580.487805;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45865;LONQUIMAY;0.901388889;SAN ANTONIO;45867;0.340277778;SAN ANTONIO;26;1;4;ARRASTRE;;28;7;2025;;32;26;32.43333333;71;35;71.58333333;LCOL;SI;45866;0.239583333;32;22;32.36666667;71;35;71.58333333;-32.36666667;-71.58333333;45866;0.326388889;210;;11.5;125;2.083333333;2;;;111;V;0;0;;110;1760;;0;0;;0;844.8;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45865;LONQUIMAY;0.901388889;SAN ANTONIO;45867;0.340277778;SAN ANTONIO;26;2;4;ARRASTRE;;28;7;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45866;0.413888889;32;22;32.36666667;71;35;71.58333333;-32.36666667;-71.58333333;45866;0.470833333;205;;11.5;82;1.366666667;2;;;111;V;0;0;;245.375;3926;;0;0;;0;2872.682927;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45865;LONQUIMAY;0.901388889;SAN ANTONIO;45867;0.340277778;SAN ANTONIO;26;3;4;ARRASTRE;;28;7;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45866;0.513194444;32;24;32.4;71;35;71.58333333;-32.4;-71.58333333;45866;0.583333333;210;;11.7;111;1.85;2;;;111;V;0;0;;274;4384;;0;0;;0;2369.72973;0;LAM;LAN;LAM;LAN;PAPUDO
COMERCIAL;45865;LONQUIMAY;0.901388889;SAN ANTONIO;45867;0.340277778;SAN ANTONIO;26;4;4;ARRASTRE;;28;7;2025;;32;21;32.35;71;35;71.58333333;LCOL;SI;45866;0.646527778;32;21;32.35;71;35;71.58333333;-32.35;-71.58333333;45866;0.722222222;200;;11.7;105;1.75;2;;;111;V;8;128;;266;4256;;0;0;;73.14285714;2432;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45865;LONQUIMAY;0.901388889;SAN ANTONIO;45867;0.340277778;SAN ANTONIO;26;5;4;ARRASTRE;;28;7;2025;;32;20;32.33333333;71;35;71.58333333;LCOL;SI;45866;0.759722222;32;21;32.35;71;35;71.58333333;-32.35;-71.58333333;45866;0.847916667;202;FANGO;11.6;126;2.1;2;;;111;V;8;128;;190;3040;;0;0;;60.95238095;1447.619048;0;LCOL/LAM;LCOL;LAM;LAN;PAPUDO
COMERCIAL;45737;ANTARES;18:16:00;SAN ANTONIO;23-03-25;11:10:00;SAN ANTONIO;S/M;1;4;ARRASTRE;;22;3;2025;;32;38;32.63333333;71;38;71.63333333;LCOL;SI;45738;0.082638889;36557;00:00:00;32.56666667;71;37;71.61666667;-32.56666667;-71.61666667;22-03-25;04:00:00;208;FANGO-LAJA;10.5;121;2.016666667;2;SW;15;111;V;58;928;;86;1376;;0;0;;460.1652893;682.3140496;0;LCOL/LAM;LCOL;LAM;LAN;QUINTERO
COMERCIAL;45737;ANTARES;18:16:00;SAN ANTONIO;23-03-25;11:10:00;SAN ANTONIO;S/M;3;4;ARRASTRE;;22;3;2025;;32;29;32.48333333;71;35;71.58333333;LCOL;SI;45738;0.259027778;36557;00:00:00;32.56666667;71;36;71.6;-32.56666667;-71.6;22-03-25;10:46:00;197;;;153;2.55;2;SW;10;111;V;90;1440;;58;928;;0;0;;564.7058824;363.9215686;0;LCOL/LAM;LCOL;LAM;LAN;QUINTERO
COMERCIAL;45737;ANTARES;18:16:00;SAN ANTONIO;23-03-25;11:10:00;SAN ANTONIO;S/M;4;4;ARRASTRE;;22;3;2025;;32;34;32.56666667;71;36;71.6;LCOL;SI;45738;0.479166667;36557;00:00:00;32.56666667;71;37;71.61666667;-32.56666667;-71.61666667;22-03-25;11:39:00;200;;;9;0.15;2;SW;10;111;V;0;0;;0;0;;0;0;;0;0;0;LAN;LAN;LAN;LAN;QUINTERO
COMERCIAL;45737;ANTARES;18:16:00;SAN ANTONIO;23-03-25;11:10:00;SAN ANTONIO;S/M;5;4;ARRASTRE;;22;3;2025;;32;34;32.56666667;71;36;71.6;LCOL;SI;45738;0.513888889;36557;00:00:00;32.63333333;71;38;71.63333333;-32.63333333;-71.63333333;22-03-25;14:50:00;195;;;150;2.5;2;SW;7;111;V;126;2016;;84;1344;;0;0;;806.4;537.6;0;LCOL/LAM;LCOL;LAM;LAN;QUINTERO
COMERCIAL;45737;ANTARES;18:16:00;SAN ANTONIO;23-03-25;11:10:00;SAN ANTONIO;S/M;6;4;ARRASTRE;;22;3;2025;;32;39;32.65;71;38;71.63333333;LCOL;SI;45738;0.653472222;36557;00:00:00;32.56666667;71;36;71.6;-32.56666667;-71.6;22-03-25;18:11:00;193;;;150;2.5;2;SW;7;111;V;160;2560;;68;1088;;0;0;;1024;435.2;0;LCOL/LAM;LCOL;LAM;LAN;QUINTERO
COMERCIAL;45737;ANTARES;18:16:00;SAN ANTONIO;23-03-25;11:10:00;SAN ANTONIO;S/M;7;4;ARRASTRE;;22;3;2025;;32;34;32.56666667;71;36;71.6;LCOL;SI;45738;0.791666667;36557;00:00:00;32.65;71;38;71.63333333;-32.65;-71.63333333;22-03-25;21:40:00;182;;;160;2.666666667;2;SW;7;111;V;92;1472;;92;1472;;0;0;;552;552;0;LCOL/LAM;LCOL;LAM;LAN;QUINTERO
COMERCIAL;45737;ANTARES;18:16:00;SAN ANTONIO;23-03-25;11:10:00;SAN ANTONIO;S/M;8;4;ARRASTRE;;22;3;2025;;32;34;32.56666667;71;38;71.63333333;LCOL;SI;45738;0.946527778;36557;00:00:00;32.53333333;71;35;71.58333333;-32.53333333;-71.58333333;23-03-25;02:10:00;189;;;206;3.433333333;2;SW;15;111;V;110;1760;;65;1040;;0;0;;512.6213592;302.9126214;0;LCOL/LAM;LCOL;LAM;LAN;QUINTERO
COMERCIAL;45863;LONQUIMAY;0.629166667;SAN ANTONIO;45865;0.270833333;SAN ANTONIO;24;1;4;ARRASTRE;;25;7;2025;;33;14;33.23333333;71;51;71.85;LCOL;SI;45863;0.754861111;33;13;33.21666667;71;51;71.85;-33.21666667;-71.85;45863;0.769444444;178;;11;21;0.35;2;;;111;V;4;64;;0;0;;0;0;;182.8571429;0;0;LCOL;LCOL;LAN;LAN;PTA. GALLO
COMERCIAL;45367;ANTARES;00:58:00;SAN ANTONIO;17-03-25;11:50:00;SAN ANTONIO;5;5;4;ARRASTRE;;17;3;2025;;33;24;33.4;71;51;71.85;LCOL;SI;45733;0.317361111;36558;00:00:00;33.38333333;71;51;71.85;-33.38333333;-71.85;17-03-25;08:17:00;223;;;40;0.666666667;2;SW;15;111;V;111.875;1790;;0;0;;0;0;;2685;0;0;LCOL;LCOL;LAN;LAN;ALGARROBO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;8;4;ARRASTRE;;18;3;2025;;33;19;33.31666667;71;52;71.86666667;LCOL;SI;45734;0.34375;36558;00:00:00;33.26666667;71;51;71.85;-33.26666667;-71.85;18-03-25;09:50:00;210;;;95;1.583333333;2;SW;4;111;V;231.25;3700;;0;0;;0;0;;2336.842105;0;0;LCOL;LCOL;LAN;LAN;ALGARROBO
COMERCIAL;45732;TIRANA II;18:00:00;SAN ANTONIO;18-03-25;16:00:00;SAN ANTONIO;6;9;4;ARRASTRE;;18;3;2025;;33;16;33.26666667;71;51;71.85;LCOL;SI;45734;0.451388889;36558;00:00:00;33.31666667;71;51;71.85;-33.31666667;-71.85;18-03-25;12:15:00;220;;;85;1.416666667;2;SW;2;111;V;243.75;3900;;0;0;;0;0;;2752.941176;0;0;LCOL;LCOL;LAN;LAN;ALGARROBO
COMERCIAL;45733;ANTARES;20:27:00;SAN ANTONIO;19-03-25;12:30:00;SAN ANTONIO;7;1;4;ARRASTRE;;17;3;2025;;33;18;33.3;71;51;71.85;LCOL;SI;45733;0.979861111;36558;00:00:00;33.25;71;51;71.85;-33.25;-71.85;18-03-25;01:01:00;230;FANGO-LAJA;10.5;90;1.5;2;SW;20;111;V;148;2368;;0;0;;0;0;;1578.666667;0;0;LCOL;LCOL;LAN;LAN;ALGARROBO
COMERCIAL;45733;ANTARES;20:27:00;SAN ANTONIO;19-03-25;12:30:00;SAN ANTONIO;7;2;4;ARRASTRE;;18;3;2025;;33;23;33.38333333;71;51;71.85;LCOL;SI;45734;0.322916667;36558;00:00:00;33.33333333;71;51;71.85;-33.33333333;-71.85;18-03-25;09:17:00;215;;;92;1.533333333;2;SW;20;111;V;205;3280;;0;0;;0;0;;2139.130435;0;0;LCOL;LCOL;LAN;LAN;ALGARROBO
COMERCIAL;45733;ANTARES;20:27:00;SAN ANTONIO;19-03-25;12:30:00;SAN ANTONIO;7;3;4;ARRASTRE;;18;3;2025;;33;20;33.33333333;71;51;71.85;LCOL;SI;45734;0.477083333;36558;00:00:00;33.28333333;71;51;71.85;-33.28333333;-71.85;18-03-25;13:02:00;209;;;95;1.583333333;2;SW;20;111;V;169;2704;;0;0;;0;0;;1707.789474;0;0;LCOL;LCOL;LAN;LAN;ALGARROBO
COMERCIAL;45733;ANTARES;20:27:00;SAN ANTONIO;19-03-25;12:30:00;SAN ANTONIO;7;4;4;ARRASTRE;;18;3;2025;;33;19;33.31666667;71;51;71.85;LCOL;SI;45734;0.654166667;36558;00:00:00;33.36666667;71;51;71.85;-33.36666667;-71.85;18-03-25;17:22:00;209;;;100;1.666666667;2;SW;15;111;V;238;3808;;0;0;;0;0;;2284.8;0;0;LCOL;LCOL;LAN;LAN;ALGARROBO
COMERCIAL;45735;TIRANA II;00:00:00;SAN ANTONIO;20-03-25;12:00:00;SAN ANTONIO;9;6;4;ARRASTRE;;20;3;2025;;33;25;33.41666667;71;51;71.85;LCOL;SI;45736;0.315972222;36558;23;33.38333333;71;51;71.85;-33.38333333;-71.85;20-03-25;08:35:00;210;;;60;1;2;N;2;111;V;159.375;2550;;0;0;;0.9;18;;2550;0;18;LCOL/CAM;LCOL;LAN;CAM;ALGARROBO
